id,urn,title,genre,albumCover,url
1573592686,soundcloud:tracks:1573592686,Water,Pop,https://i1.sndcdn.com/artworks-vQaHVhhHE615-0-large.jpg,https://soundcloud.com/tylamusic/water
1685290914,soundcloud:tracks:1685290914,FTCU,Hip Hop,https://i1.sndcdn.com/artworks-6cUygSOE3S2V-0-large.jpg,https://soundcloud.com/nickiminaj/nicki-minaj-ftcu
1376227570,soundcloud:tracks:1376227570,Rich Flex,Rap,https://i1.sndcdn.com/artworks-X1jwgSEoXzOg-0-large.jpg,https://soundcloud.com/octobersveryown/drake-21-savage-rich-flex
737719804,soundcloud:tracks:737719804,Yummy,Pop,https://i1.sndcdn.com/artworks-o9CbTPSfAjk8-0-large.jpg,https://soundcloud.com/justinbieber/yummy-1
863079139,soundcloud:tracks:863079139,august,Alternative,https://i1.sndcdn.com/artworks-dZBRSB2wgA9C-0-large.jpg,https://soundcloud.com/taylorswiftofficial/august
1245609985,soundcloud:tracks:1245609985,First Class,Rap/Hip Hop,https://i1.sndcdn.com/artworks-67AUHu9QW4OY-0-large.jpg,https://soundcloud.com/jackharlow/jack-harlow-first-class
815692861,soundcloud:tracks:815692861,Stuck with U,Pop,https://i1.sndcdn.com/artworks-I1ndWDTjwDyW-0-large.jpg,https://soundcloud.com/arianagrande/ariana-grande-justin-bieber
825642412,soundcloud:tracks:825642412,Rain On Me (with Ariana Grande),Pop,https://i1.sndcdn.com/artworks-gKNABXVydPSi-0-large.jpg,https://soundcloud.com/ladygaga/rain-on-me-with-ariana-grande
1300828966,soundcloud:tracks:1300828966,Quevedo: Bzrp Music Sessions, Vol. 52,Hip-hop/Rap,https://i1.sndcdn.com/artworks-abdZyqJzGtuz-0-large.jpg,https://soundcloud.com/bizarrap/bizarrap-quevedo-quevedo-bzrp
1465627021,soundcloud:tracks:1465627021,Feather,Pop,https://i1.sndcdn.com/artworks-2UYDH22yxOlU-0-large.jpg,https://soundcloud.com/sabrinacarpenter/feather
861425395,soundcloud:tracks:861425395,Mood (feat. iann dior),Pop,https://i1.sndcdn.com/artworks-NvEjWuQ0lRAl-0-large.jpg,https://soundcloud.com/24kgoldn/mood-feat-iann-dior
1010966185,soundcloud:tracks:1010966185,Peaches (feat. Daniel Caesar & Giveon),Pop,https://i1.sndcdn.com/artworks-j5BuecOuwQjW-0-large.jpg,https://soundcloud.com/justinbieber/peaches-feat-daniel-caesar
789615277,soundcloud:tracks:789615277,Toosie Slide,Hip Hop,https://i1.sndcdn.com/artworks-RJncRzSHOgZV-0-large.jpg,https://soundcloud.com/octobersveryown/drake-toosie-slide
1547502043,soundcloud:tracks:1547502043,One Of The Girls,Soundtrack,https://i1.sndcdn.com/artworks-wlilz290uJx3-0-large.jpg,https://soundcloud.com/theweeknd/the-weeknd-jennie-lily-rose
895281859,soundcloud:tracks:895281859,Holy (feat. Chance The Rapper),Pop,https://i1.sndcdn.com/artworks-zsYlxaOD6ThN-0-large.jpg,https://soundcloud.com/justinbieber/justin-bieber-holy-feat-chance
