256231990,soundcloud:tracks:256231990,Man! I Feel Like A Woman!,Country,https://i1.sndcdn.com/artworks-OIi4f33Nln3m-0-large.jpg,https://soundcloud.com/shania-twain-music/man-i-feel-like-a-woman-album
254171179,soundcloud:tracks:254171179,Maria Maria (feat. The Product G&B),Pop,https://i1.sndcdn.com/artworks-aagfxZJo9raK-0-large.jpg,https://soundcloud.com/santana-official/maria-maria-radio-mix
247838040,soundcloud:tracks:247838040,Desert Rose (feat. Cheb Mami),Pop,https://i1.sndcdn.com/artworks-VBE4vrEjI5Uc-0-large.jpg,https://soundcloud.com/sting/sting-desert-rose-album
259068443,soundcloud:tracks:259068443,Gypsy Woman (She's Homeless) (La Da Dee La Da Da) (Radio Edit),Pop,https://i1.sndcdn.com/artworks-YOZdz25lcQ0N-0-large.jpg,https://soundcloud.com/crystal-waters-official/gypsy-woman-shes-homeless-2
257475638,soundcloud:tracks:257475638,Genie in a Bottle,Pop,https://i1.sndcdn.com/artworks-fNinNQ9HGLGN-0-large.jpg,https://soundcloud.com/christinaaguilera/genie-in-a-bottle
875830342,soundcloud:tracks:875830342,The Boy Is Mine,Pop,https://i1.sndcdn.com/artworks-RKOzO44W7TzJ-0-large.jpg,https://soundcloud.com/4everbrandy/the-boy-is-mine
259137968,soundcloud:tracks:259137968,Dragula,Rock,https://i1.sndcdn.com/artworks-6InYl3NpXcvp-0-large.jpg,https://soundcloud.com/rob-zombie-official/dragula
232292832,soundcloud:tracks:232292832,Can We Talk,R&B,https://i1.sndcdn.com/artworks-Kr5GVat5sJ4v-0-large.jpg,https://soundcloud.com/tevincampbell/tevin-campbell-can-we-talk
255793641,soundcloud:tracks:255793641,One Headlight,Rock,https://i1.sndcdn.com/artworks-eQfz6ZPZ1W8h-0-large.jpg,https://soundcloud.com/thewallflowers/one-headlight
278509338,soundcloud:tracks:278509338,Heal the World,Pop,https://i1.sndcdn.com/artworks-0CZ4VzqvtRN6-0-large.jpg,https://soundcloud.com/mjimmortal/heal-the-world
278509295,soundcloud:tracks:278509295,Earth Song,Pop,https://i1.sndcdn.com/artworks-lVgfAuqTr1I9-0-large.jpg,https://soundcloud.com/mjimmortal/earth-song
256614041,soundcloud:tracks:256614041,Torn,Pop,https://i1.sndcdn.com/artworks-tOpnt8iy33it-0-large.jpg,https://soundcloud.com/natalie-imbruglia/torn
336962110,soundcloud:tracks:336962110,Scatman (ski-ba-bop-ba-dop-bop),Pop,https://i1.sndcdn.com/artworks-YL6Wki0130hy-0-large.jpg,https://soundcloud.com/scatman-john-official/scatman-ski-ba-bop-ba-dop-5
273203268,soundcloud:tracks:273203268,Under the Bridge,Alternative,https://i1.sndcdn.com/artworks-SJixw7JputOL-0-large.jpg,https://soundcloud.com/red-hot-chili-peppers-official/under-the-bridge
255794151,soundcloud:tracks:255794151,Ironic,Pop,https://i1.sndcdn.com/artworks-tYrJ8mufzNSt-0-large.jpg,https://soundcloud.com/alanismorissette/ironic-1
256194790,soundcloud:tracks:256194790,Crazy,Pop,https://i1.sndcdn.com/artworks-W7fQF8DnbJuh-0-large.jpg,https://soundcloud.com/aerosmith/crazy
